,Loyalty Number,Country,Province,City,Postal Code,Education,Salary,Marital Status,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Gender_Female,Gender_Male,Loyalty Card_Aurora,Loyalty Card_Nova,Loyalty Card_Star
0,480934,Canada,Ontario,Toronto,M2Z 4K1,Bachelor,83236.0,Married,3839.14,Standard,2016,2,,,48420,156,37,54525,54525.0,1418,256,True,False,False,False,True
1,549612,Canada,Alberta,Edmonton,T3G 6Y6,College,,Divorced,3839.61,Standard,2016,3,,,48420,156,58,77487,77487.0,1971,356,False,True,False,False,True
2,429460,Canada,British Columbia,Vancouver,V6E 3D9,College,,Single,3839.75,Standard,2014,7,2018.0,1.0,48420,156,18,24803,24803.0,374,67,False,True,False,False,True
3,608370,Canada,Ontario,Toronto,P1W 1K4,College,,Single,3839.75,Standard,2013,2,,,48420,156,35,48432,48432.0,1291,233,False,True,False,False,True
4,530508,Canada,Quebec,Hull,J8Y 3Z5,Bachelor,103495.0,Married,3842.79,Standard,2014,10,,,48420,156,37,55515,55515.0,0,0,False,True,False,False,True
5,193662,Canada,Yukon,Whitehorse,Y2K 6R0,Bachelor,51124.0,Married,3844.57,Standard,2012,5,,,96840,312,86,138596,138596.0,1222,220,False,True,False,False,True
6,927943,Canada,Ontario,Toronto,P5S 6R4,College,,Single,3857.95,Standard,2014,6,,,48420,156,40,61007,61007.0,1583,285,True,False,False,False,True
7,188893,Canada,Ontario,Trenton,K8V 4B2,Bachelor,100159.0,Married,3861.49,Standard,2016,12,,,48420,156,41,72849,72849.0,733,132,False,True,False,False,True
8,852392,Canada,Quebec,Montreal,H2Y 2W2,Bachelor,100159.0,Married,3861.49,Standard,2015,5,,,48420,156,27,48968,48968.0,1516,274,True,False,False,False,True
9,866307,Canada,Ontario,Toronto,M8Y 4K8,Bachelor,100159.0,Married,3861.49,Standard,2016,10,,,48420,156,44,55849,55849.0,1683,303,False,True,False,False,True
10,932823,Canada,British Columbia,Vancouver,V6E 3D9,Bachelor,66444.0,Married,3863.31,Standard,2015,3,,,48420,156,51,81965,81965.0,499,90,True,False,False,False,True
11,144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Bachelor,49618.0,Married,3864.78,Standard,2016,6,,,48420,156,31,50773,50773.0,1599,288,True,False,False,False,True
12,611765,Canada,Quebec,Quebec City,G1B 3L5,Bachelor,90175.0,Single,3867.97,Standard,2018,1,,,48420,156,26,38476,38476.0,436,78,False,True,False,False,True
13,988178,Canada,Quebec,Montreal,H4G 3T4,College,,Single,3871.07,Standard,2013,10,,,48420,156,63,86527,86527.0,1190,214,False,True,False,False,True
14,286114,Canada,Ontario,Toronto,M2M 7K8,College,,Single,3872.22,Standard,2016,11,,,48420,156,26,35769,35769.0,2123,381,True,False,False,False,True
15,205785,Canada,Ontario,Toronto,M2M 6J7,Master,128118.0,Married,3873.65,Standard,2016,8,,,48420,156,35,51158,51158.0,1233,222,False,True,False,False,True
16,735304,Canada,Alberta,Edmonton,T3G 6Y6,Master,128118.0,Married,3873.65,Standard,2016,12,,,48420,156,29,44741,44741.0,1053,189,True,False,False,False,True
17,438936,Canada,Quebec,Montreal,H2Y 2W2,Bachelor,94092.0,Married,3878.77,Standard,2013,10,,,48420,156,52,67379,67379.0,499,90,False,True,False,False,True
18,172755,Canada,Alberta,Edmonton,T3G 6Y6,College,,Single,5303.76,2018 Promotion,2018,3,,,22198,77,40,43352,65028.0,765,138,True,False,True,False,False
19,354730,Canada,New Brunswick,Fredericton,E3B 2H2,College,,Married,3885.46,Standard,2014,10,2018.0,1.0,48420,156,20,36872,36872.0,0,0,True,False,False,False,True
20,413741,Canada,Ontario,Toronto,M1R 4K3,College,,Married,3885.46,Standard,2015,7,,,48420,156,36,60555,60555.0,1965,353,True,False,False,False,True
21,552965,Canada,Quebec,Montreal,H4G 3T4,College,,Married,3885.46,Standard,2018,11,,,48420,156,3,6783,6783.0,0,0,False,True,False,False,True
22,642313,Canada,Alberta,Edmonton,T9G 1W3,College,,Married,3885.46,Standard,2016,3,,,48420,156,33,47139,47139.0,1506,271,False,True,False,False,True
23,263080,Canada,Alberta,Edmonton,T9G 1W3,College,,Single,3886.5,Standard,2014,5,,,48420,156,29,38374,38374.0,346,62,False,True,False,False,True
